timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785358285094,1001,POST /api/auth/login,201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-1,text,true,,1833,339,4,4,https://finsense-backend-ypwx.onrender.com/api/auth/login,1001,0,195
1785358286094,736,POST /api/auth/login,201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-2,text,true,,1833,339,4,4,https://finsense-backend-ypwx.onrender.com/api/auth/login,735,0,258
1785358287095,755,POST /api/auth/login,201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-3,text,true,,1833,339,5,5,https://finsense-backend-ypwx.onrender.com/api/auth/login,755,0,224
1785358288146,1015,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-1,text,true,,2398,466,7,7,https://finsense-backend-ypwx.onrender.com/api/auth/me,1015,0,0
1785358288088,1137,POST /api/auth/login,201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-4,text,true,,1833,339,7,7,https://finsense-backend-ypwx.onrender.com/api/auth/login,1136,0,288
1785358288834,801,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-2,text,true,,2398,466,7,7,https://finsense-backend-ypwx.onrender.com/api/auth/me,800,0,0
1785358289082,757,POST /api/auth/login,201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-5,text,true,,1833,339,7,7,https://finsense-backend-ypwx.onrender.com/api/auth/login,757,0,209
1785358289854,423,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-3,text,true,,2398,466,8,8,https://finsense-backend-ypwx.onrender.com/api/auth/me,422,0,0
1785358290092,640,POST /api/auth/login,201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-6,text,true,,1833,339,8,8,https://finsense-backend-ypwx.onrender.com/api/auth/login,640,0,205
1785358291165,741,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-1,text,true,,24935,471,9,9,https://finsense-backend-ypwx.onrender.com/api/transactions,554,0,0
1785358291229,677,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-4,text,true,,2398,466,9,9,https://finsense-backend-ypwx.onrender.com/api/auth/me,677,0,0
